player,pitch,x,y,release_speed,release_spin
A.J. Cole,4-Seam Fastball,0.066318861,2.482567632,94.36111111,2406.342593
A.J. Cole,Changeup,-1.182500748,2.508265131,86.47,2188.9
A.J. Cole,Curveball,-0.512371043,1.620284661,78.82941176,2349.310345
A.J. Cole,Slider,0.605084233,1.636232905,83.81402715,2374.113636
A.J. Minter,2-Seam Fastball,0.423313384,1.779422928,94.2,2379
A.J. Minter,4-Seam Fastball,-0.110273862,2.540532925,95.95695652,2326.46087
A.J. Minter,Changeup,0.557996426,1.908308587,86.06,1696.126316
A.J. Minter,Cutter,-0.580161166,2.180576187,91.50957854,2436.619231
A.J. Minter,Slider,-0.567006848,2.005592963,86.3,2156
A.J. Puk,4-Seam Fastball,-0.245161057,2.267841515,97.06744186,2258.077519
A.J. Puk,Changeup,-0.29480709,1.827619933,89.38421053,1761.210526
A.J. Puk,Curveball,0.172508054,2.307559098,81.925,2177
A.J. Puk,Slider,-0.492268595,2.093278302,89.644,2217.76
AJ Reed,4-Seam Fastball,0.712433882,3.159828984,88.03333333,2035.333333
AJ Reed,Changeup,0.002015761,2.388139269,81.56666667,1848
Aaron Altherr,4-Seam Fastball,-0.292569362,2.960544299,88.85,2285
Aaron Altherr,Slider,-0.36379741,2.478858319,84.83333333,2222.888889
Aaron Barrett,2-Seam Fastball,-0.418122847,2.725798347,91.725,2003.857143
Aaron Barrett,4-Seam Fastball,0.500426166,2.649072322,91.355,2026
Aaron Barrett,Changeup,-0.434359472,1.242117636,85.5,1573
Aaron Barrett,Curveball,-0.66352478,2.496772989,82.05,2221.25
Aaron Barrett,Slider,0.312360534,2.210617972,83.43636364,2211.181818
Aaron Brooks,2-Seam Fastball,-0.480922318,2.465004781,91.83766478,2013.472693
Aaron Brooks,4-Seam Fastball,0.224232029,2.792500456,91.99301848,2082.722793
Aaron Brooks,Changeup,-0.283376836,1.852128044,84.71636829,1642.306905
Aaron Brooks,Knuckle Curve,0.272648538,1.937173335,78.61428571,2271.904762
Aaron Brooks,Slider,0.614896571,1.898624371,85.59929577,2467.213429
Aaron Bummer,4-Seam Fastball,-0.374118094,2.64182676,95.08539326,2091.393258
Aaron Bummer,Changeup,-0.064937408,1.312883056,89.36666667,1635.666667
Aaron Bummer,Cutter,-0.559443757,1.552910323,87.87211538,2227.426901
Aaron Bummer,Sinker,-0.251563617,2.080780065,95.60910384,2032.539118
Aaron Bummer,Slider,0.146985494,2.176817738,84.94545455,2245.129032
Aaron Civale,4-Seam Fastball,0.151462213,4.101995111,92.00714286,2414.571429
Aaron Civale,Changeup,-0.387119079,1.817610539,84.24912281,2088.947368
Aaron Civale,Curveball,-0.002933905,1.624211703,75.51894737,2930.115789
Aaron Civale,Cutter,0.491930807,2.58581093,87.92470588,2623.565737
Aaron Civale,Sinker,0.096887388,2.466466989,92.62483444,2268.07947
Aaron Civale,Slider,1.023324083,1.827823665,83.57983871,2804.573171
Aaron Loup,Changeup,-0.535334129,1.370928805,79.2,2148
Aaron Loup,Curveball,-0.408200846,2.174413797,76.0625,2591.25
Aaron Loup,Cutter,-0.101442218,2.041275253,84.44736842,2438
Aaron Loup,Sinker,0.000725164,2.307078645,91.72608696,2221.391304
Aaron Nola,2-Seam Fastball,0.381793329,2.371715395,92.17158774,2131.991643
Aaron Nola,4-Seam Fastball,-0.084649617,2.565858943,93.05584746,2170.845763
Aaron Nola,Changeup,-0.58207509,1.667118244,85.82006472,1569.81759
Aaron Nola,Knuckle Curve,0.163418835,1.803485738,79.08364566,2574.069847
Aaron Sanchez,2-Seam Fastball,-0.215493436,2.575357046,93.84989733,2240.835729
Aaron Sanchez,4-Seam Fastball,0.007143898,2.780053817,93.43623361,2252.507747
Aaron Sanchez,Changeup,-0.485122807,1.861211279,88.0064877,1810.572707
Aaron Sanchez,Curveball,0.454870125,1.75893311,78.40469925,2840.825188
Aaron Slegers,4-Seam Fastball,0.161253717,3.040628099,90.03076923,2036.461538
Aaron Slegers,Changeup,-1.062876717,2.164837345,84.725,1490
Aaron Slegers,Sinker,-0.684018652,2.213662401,89.54,2001.266667
Aaron Slegers,Slider,0.72729779,1.455662767,83.75,2099.2
Aaron Wilkerson,4-Seam Fastball,-0.047093431,2.975719391,89.80952381,2350.470238
Aaron Wilkerson,Changeup,-0.672206581,2.43732156,83.228,1553.755102
Aaron Wilkerson,Curveball,0.087483255,1.798093878,74.50877193,2347.631579
Aaron Wilkerson,Slider,0.54877744,1.624034414,82.73793103,2193.8
Adalberto Mejia,2-Seam Fastball,0.682831619,2.042758349,91.96290323,2478.225806
Adalberto Mejia,4-Seam Fastball,0.09267156,2.376351927,93.00541516,2576.447653
Adalberto Mejia,Changeup,0.677965836,1.79733885,81.11782178,1963.70297
Adalberto Mejia,Slider,-0.201553134,1.946345941,84.45185185,2506.835227
Adam Cimber,4-Seam Fastball,-0.149553567,2.650284741,85.89111111,2166.111111
Adam Cimber,Sinker,-0.550326315,2.192313611,84.91802469,2133.303704
Adam Cimber,Slider,0.486613398,1.951588335,75.4381323,2153.217391
Adam Conley,4-Seam Fastball,-0.010067231,2.728308021,95.31908397,2329.770992
Adam Conley,Changeup,0.483693128,2.011003766,86.47541899,2033.446927
Adam Conley,Curveball,0.064631463,2.169604661,82.9556962,2208
Adam Conley,Slider,-0.690723264,1.51545192,86.06486486,2112.125926
Adam Kolarek,4-Seam Fastball,-0.16770496,2.744067125,91.56547619,2211.416667
Adam Kolarek,Changeup,0.695836703,1.539638065,81.37260274,2173.273973
Adam Kolarek,Cutter,-0.73704343,0.862638282,83,1328.875
Adam Kolarek,Sinker,0.500018923,1.958216829,88.88621908,2151.19788
Adam Kolarek,Slider,-0.311415684,1.641604783,75.65238095,1979.173077
Adam Morgan,2-Seam Fastball,0.599939729,2.201747708,92.41894737,2406.726316
Adam Morgan,4-Seam Fastball,-0.338896442,2.424933028,92.75142857,2384.142857
Adam Morgan,Changeup,0.593065518,1.977231038,83.45212766,1752.904255
Adam Morgan,Curveball,0.05386162,2.054955527,77.23333333,2993.68254
Adam Morgan,Slider,-0.693479979,1.817764856,81.25511364,2796.020833
Adam Ottavino,2-Seam Fastball,0.085058001,2.520405458,93.86979866,2387.483221
Adam Ottavino,4-Seam Fastball,0.16104422,2.810255249,93.78181818,2392.863636
Adam Ottavino,Cutter,0.418107758,2.429553885,88.22371795,2682.874172
Adam Ottavino,Slider,0.167215491,1.926872777,81.85663366,2876.076768
Adam Plutko,4-Seam Fastball,0.210320893,2.781814963,91.09142562,2265.068182
Adam Plutko,Changeup,-0.443402834,1.908462824,84.10995025,1630.315
Adam Plutko,Curveball,0.317247753,1.817601559,77.31780105,2886.142105
Adam Plutko,Slider,0.62355742,2.19547579,85.85737327,2459.833718
Adam Wainwright,4-Seam Fastball,-0.302921329,2.564646625,89.60132275,2191.380952
Adam Wainwright,Changeup,-0.982884679,1.959647934,83.91403509,1769.175439
Adam Wainwright,Curveball,0.031276153,1.945418913,74.87687805,2751.745366
Adam Wainwright,Cutter,0.631282592,2.277953936,84.86384,2340.974152
Adam Wainwright,Sinker,0.192425755,2.412946634,89.98354793,2171.373391
Adam Warren,2-Seam Fastball,-0.784717198,0.847126631,91.7,2027
Adam Warren,4-Seam Fastball,0.042955007,2.499073663,91.35764706,2151.182353
Adam Warren,Changeup,-0.439253099,1.273153502,84.91515152,1771.418367
Adam Warren,Curveball,0.656623093,1.665728996,78.8,2104.391304
Adam Warren,Slider,0.390585274,1.745496392,85.54732824,2226.130268
Adbert Alzolay,4-Seam Fastball,0.09205707,2.662544061,94.32635659,2404.953488
Adbert Alzolay,Changeup,-0.30170069,1.994047034,85.22765957,1902.319149
Adbert Alzolay,Curveball,0.131471415,2.08409434,79.70612245,3013.23913
Adonis Rosa,4-Seam Fastball,-0.205741567,1.925263336,90.26666667,2299.888889
Adonis Rosa,Changeup,-2.006293794,2.200236418,85.4,1903.333333
Adonis Rosa,Curveball,-0.713529104,2.364165968,77.53333333,2550
